,matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
0,1,19,11,,,0,Uruguay,Argentina,01-09-2016,0,1,0,2.16667,2,0.66667,0.52222,0.17407,0.93704,0.3,2.11063,0.59259,2.14259,0.48519,0.80534,0.05185,0.1537,1.66667,0.10926,4.4463,0.58704,0.05741,0.18519,3.66667,0.12963,1.75,1.00585,0.49896
1,1,11,19,,,1,Argentina,Uruguay,01-09-2016,1,0,3,1.83333,1,0.66667,0.67593,0.26667,0.4963,0.12222,0.96758,0.81289,4.14074,0.47407,0.88823,0.05,0.15741,2.5,0.12963,2.99074,0.56111,0.05556,0.1963,2.66667,0.09259,1,2.19284,2.71368
2,2,18,12,,,0,Peru,Bolivia,01-09-2016,3,0,3,0.66667,1,2,0.95185,0.23148,0.74259,0.2037,1.00198,1.79497,4.22222,0.49074,0.89931,0.05741,0.12778,2,0.09815,3.38333,0.43148,0.0463,0.13889,1.66667,0.11481,0.45833,1.03783,1.27577
3,2,12,18,,,1,Bolivia,Peru,01-09-2016,0,3,0,0.5,1.16667,2.16667,0.38519,0.12222,0.47778,0.17037,0.97588,2.32681,2.18704,0.54074,0.78655,0.04444,0.21852,3.16667,0.12222,2.77407,0.43519,0.06296,0.15,2.5,0.13889,0.52778,1.47769,1.31737
4,3,16,13,,,0,Ecuador,Brasil,01-09-2016,0,3,0,2.16667,2,1.16667,0.68333,0.16852,0.48148,0.08889,1.98496,1.59295,3.38704,0.73519,0.81307,0.08889,0.16852,2.16667,0.12963,2.76667,0.53519,0.03519,0.14259,2.66667,0.08889,1.72222,1.90766,1.67237
5,3,13,16,,,1,Brasil,Ecuador,01-09-2016,3,0,3,1.5,1.83333,1.33333,1.03889,0.3037,0.65556,0.1537,1.45437,1.3663,4.66111,0.37222,0.92542,0.07037,0.1537,2,0.13333,2.88889,0.40741,0.06481,0.16667,2.33333,0.10926,1.5,1.29316,1.91516
6,4,17,14,,,1,Paraguay,Chile,01-09-2016,2,1,3,1.5,1.16667,1,0.35,0.09259,0.7537,0.12407,1.54167,1.00877,1.90556,0.44444,0.81738,0.03889,0.15185,2.16667,0.08704,3.5,0.49444,0.05185,0.13889,1.66667,0.12593,0.83333,1.0971,0.68062
7,4,14,17,,,0,Chile,Paraguay,01-09-2016,1,2,0,1.66667,2,1.66667,0.62037,0.22407,0.62037,0.24815,1.79132,1.7996,4.19815,0.53333,0.86219,0.0463,0.15,2.33333,0.12222,2.62593,0.33889,0.0537,0.16481,2.66667,0.10741,1.47222,1.15384,2.4135
8,5,20,15,,,0,Venezuela,Colombia,01-09-2016,0,2,0,0.16667,1.16667,2.83333,0.52593,0.1,0.68704,0.26296,1.64881,2.34782,2.30185,0.38704,0.85117,0.04259,0.15556,3.16667,0.1,3.77593,0.5463,0.06481,0.1537,1.66667,0.13704,0.40278,0.95007,0.68153
9,5,15,20,,,1,Colombia,Venezuela,01-09-2016,2,0,3,1.66667,1.5,1.33333,0.61667,0.12778,0.51852,0.13704,1.6776,1.51209,3.18519,0.44074,0.87894,0.04259,0.20556,2.66667,0.10556,3.17963,0.56667,0.04074,0.20556,2.33333,0.09259,1.25,1.1639,1.07399
10,6,20,11,,,1,Venezuela,Argentina,06-09-2016,2,2,1,0.16667,1.16667,3,0.51481,0.10185,0.76296,0.25741,1.64881,2.18993,2.3463,0.42593,0.84285,0.04444,0.17778,4,0.08889,4.05741,0.54815,0.07222,0.15556,1.83333,0.16296,0.40278,0.6027,0.61826
11,6,11,20,,,0,Argentina,Venezuela,06-09-2016,2,2,1,2.33333,1.16667,0.33333,0.73519,0.26481,0.50741,0.12963,1.38424,0.3367,4.03333,0.45185,0.89008,0.05,0.17037,2.66667,0.11667,3.06296,0.55,0.04815,0.18889,3.33333,0.09444,1.16667,2.01427,2.5897
12,7,14,12,,,1,Chile,Bolivia,06-09-2016,3,0,3,1.16667,1.83333,2,0.63519,0.23704,0.54444,0.18333,1.62465,2.10263,4.33333,0.50926,0.88054,0.04444,0.14444,3,0.12222,2.22778,0.28889,0.05741,0.17593,3,0.11111,1.22222,1.12017,2.63705
13,7,12,14,,,0,Bolivia,Chile,06-09-2016,0,3,0,0.5,1.16667,2.33333,0.33889,0.06111,0.55741,0.17407,0.97588,2.67072,1.90185,0.49444,0.78453,0.03704,0.22593,2.83333,0.1037,2.99815,0.4537,0.06296,0.14815,2.5,0.13519,0.52778,1.33483,0.97343
14,8,15,13,,,0,Colombia,Brasil,06-09-2016,1,2,0,1.66667,1.5,1.33333,0.67407,0.11111,0.46481,0.14259,1.48267,1.51209,3.25,0.45741,0.87614,0.04444,0.19074,2.66667,0.12407,2.93333,0.59815,0.03889,0.23148,3.33333,0.09444,1.25,1.69168,1.19753
15,8,13,15,,,1,Brasil,Colombia,06-09-2016,2,1,3,2,2.33333,1,1.11667,0.32963,0.65926,0.16852,1.83898,1.03297,4.75926,0.36111,0.92919,0.06111,0.15,2,0.14074,3.00556,0.48148,0.06481,0.16481,3.16667,0.1,2,1.5765,1.89223
16,9,18,16,,,1,Peru,Ecuador,06-09-2016,2,1,3,1.16667,1.5,1.66667,0.9537,0.23148,0.7537,0.17963,1.71627,1.4246,4.07778,0.51481,0.88867,0.05556,0.13148,2.16667,0.10185,3.36667,0.50741,0.0463,0.14074,1.66667,0.11296,0.95833,1.09107,1.23692
17,9,16,18,,,0,Ecuador,Peru,06-09-2016,1,2,0,1.66667,1.66667,1.66667,0.7,0.19815,0.62037,0.15556,1.50877,1.97756,3.63519,0.72963,0.8305,0.08333,0.15185,3,0.12593,2.70741,0.5,0.02407,0.13519,2.33333,0.09259,1.38889,1.86571,1.72931
18,10,19,17,,,1,Uruguay,Paraguay,06-09-2016,4,0,3,1.66667,1.66667,0.83333,0.54444,0.17593,0.90185,0.26111,1.74026,1.00926,2.28148,0.51481,0.80904,0.04815,0.16296,2.16667,0.10741,4.36667,0.5,0.05556,0.19259,3.66667,0.1037,1.41667,1.25585,0.53566
19,10,17,19,,,0,Paraguay,Uruguay,06-09-2016,0,4,0,1.5,1.33333,1.16667,0.31667,0.07963,0.75741,0.13889,1.51136,1.17544,1.86296,0.41296,0.82855,0.05185,0.16481,2.5,0.09815,3.75556,0.44444,0.05,0.13704,2.16667,0.12222,1,1.21099,0.59637
20,11,18,11,,,1,Peru,Argentina,06-10-2016,2,2,1,1.66667,1.33333,1.16667,0.86296,0.20185,0.76296,0.17778,1.43849,1.10714,3.93148,0.61296,0.85842,0.0537,0.13704,2.33333,0.10741,3.45556,0.62407,0.04815,0.15185,2,0.1037,1.16667,1.25179,1.16436
21,11,11,18,,,0,Argentina,Peru,06-10-2016,2,2,1,2.33333,1.5,0.66667,0.73889,0.24074,0.52407,0.12593,1.66202,0.70707,4.12407,0.47593,0.88777,0.06481,0.16852,2.83333,0.12222,3.0963,0.5537,0.05185,0.18519,3.16667,0.09815,1.33333,2.02221,2.59189
22,12,13,12,,,1,Brasil,Bolivia,06-10-2016,5,0,3,2,2.16667,1,1.17778,0.35,0.65556,0.16667,2.31517,1.35043,5.07407,0.35741,0.93308,0.05185,0.16111,2.5,0.12222,3.13704,0.50556,0.05741,0.17222,2.83333,0.09259,1.83333,1.46538,1.91621
23,12,12,13,,,0,Bolivia,Brasil,06-10-2016,0,5,0,0.5,1.16667,2.5,0.33889,0.06481,0.57037,0.18889,0.97588,2.83311,1.76667,0.36296,0.82366,0.04259,0.23333,2.33333,0.10185,3.36481,0.43333,0.0537,0.15185,2.5,0.13148,0.52778,1.33227,0.92084
24,13,16,14,,,1,Ecuador,Chile,06-10-2016,3,0,3,1.16667,1.5,2,0.63148,0.17778,0.66111,0.17222,1.52464,2.25534,3.6037,0.73704,0.82777,0.06852,0.16481,3.33333,0.11111,2.84815,0.47778,0.03148,0.12037,2,0.1037,1.13889,1.54626,1.5997
25,13,14,16,,,0,Chile,Ecuador,06-10-2016,0,3,0,1.16667,1.66667,1.5,0.72593,0.27037,0.41296,0.14074,1.45371,1.54708,4.82037,0.59815,0.88685,0.05185,0.1463,3,0.12407,1.80556,0.27778,0.0537,0.2037,3,0.1037,1.5,1.33128,3.5775
26,14,17,15,,,1,Paraguay,Colombia,06-10-2016,0,1,0,1.33333,1.33333,1.83333,0.34259,0.06481,0.73704,0.12593,1.51136,1.68826,2.1,0.42407,0.84044,0.05,0.17037,2.33333,0.09815,3.72963,0.46852,0.06111,0.13889,2.16667,0.12963,1,1.1711,0.65711
27,14,15,17,,,0,Colombia,Paraguay,06-10-2016,1,0,3,1.66667,1.66667,1.16667,0.67037,0.10926,0.6,0.21667,2.03823,1.89087,3.2037,0.42778,0.88039,0.04815,0.17778,2.16667,0.11667,3.75,0.52037,0.0463,0.22037,3.83333,0.08148,1.33333,1.71062,0.97374
28,15,20,19,,,0,Venezuela,Uruguay,06-10-2016,0,3,0,0.33333,1.33333,2.83333,0.47593,0.10185,0.80556,0.21296,1.78108,2.11056,2.13519,0.44074,0.82703,0.03704,0.18148,3.66667,0.09259,3.98333,0.57407,0.06481,0.17037,2.16667,0.15926,0.51389,0.64436,0.58319
29,15,19,20,,,1,Uruguay,Venezuela,06-10-2016,3,0,3,1.66667,1.83333,0.83333,0.63704,0.1963,0.87222,0.25,1.79853,1.00926,2.59259,0.46667,0.83574,0.0537,0.15926,2.33333,0.11111,4.18148,0.46852,0.0537,0.18519,3.16667,0.1037,1.58333,1.30347,0.67005
30,16,17,11,,,0,Paraguay,Argentina,11-10-2016,1,0,3,1.33333,1.33333,1.83333,0.37222,0.07222,0.67037,0.13148,1.51136,2.03548,2.15185,0.41111,0.84641,0.05185,0.18519,2.66667,0.09815,3.45556,0.41852,0.0537,0.15926,2.16667,0.12037,1,1.30999,0.74091
31,16,11,17,,,1,Argentina,Paraguay,11-10-2016,0,1,0,2.33333,1.66667,0.83333,0.8037,0.24259,0.50926,0.1537,1.90419,0.69732,4.5537,0.50185,0.89893,0.06111,0.17593,3,0.11481,2.91852,0.57593,0.05185,0.16852,2.5,0.11667,1.33333,1.86042,2.75372
32,17,16,12,,,0,Ecuador,Bolivia,11-10-2016,2,2,1,1.16667,1.66667,1.83333,0.55185,0.15185,0.74815,0.1963,1.56558,1.92201,3.11852,0.63333,0.84111,0.06852,0.16111,2.83333,0.11852,3.20741,0.50185,0.02778,0.11667,1.83333,0.11111,1.30556,1.39811,1.17196
33,17,12,16,,,1,Bolivia,Ecuador,11-10-2016,2,2,1,0,0.5,3,0.32037,0.07593,0.67037,0.23333,0.625,2.60504,1.69444,0.39074,0.80915,0.03148,0.21296,2.16667,0.07222,4.33148,0.45,0.05556,0.1463,1.66667,0.15741,0.19444,0.72525,0.55525
34,18,20,13,,,1,Venezuela,Brasil,11-10-2016,0,2,0,0.33333,1,2.66667,0.52037,0.11667,0.84259,0.2463,1.11442,2.1443,2.45185,0.46667,0.84227,0.04444,0.19074,3.5,0.09444,4.08704,0.57593,0.05926,0.15741,1.83333,0.14815,0.43056,0.67743,0.67897
35,18,13,20,,,0,Brasil,Venezuela,11-10-2016,2,0,3,2.33333,2.83333,0.83333,1.19074,0.39074,0.65741,0.17222,2.56858,1.22222,5.49815,0.35185,0.93892,0.04444,0.1537,1.83333,0.14074,3.15741,0.53704,0.03704,0.17593,2.66667,0.07407,2.5,2.40556,2.12262
36,19,18,14,,,0,Peru,Chile,11-10-2016,1,2,0,1.33333,1.5,1.5,0.86852,0.22407,0.81296,0.18148,1.4056,1.47751,3.73148,0.57963,0.85835,0.05556,0.14259,2.33333,0.12778,3.72037,0.55741,0.06111,0.15556,2.33333,0.11296,1.16667,1.2703,1.01782
37,19,14,18,,,1,Chile,Peru,11-10-2016,2,1,3,1,1.5,1.83333,0.78333,0.27778,0.38889,0.13333,1.21562,1.6019,4.73889,0.61296,0.88685,0.0463,0.13704,2.83333,0.12778,1.68519,0.19444,0.05556,0.18519,2.66667,0.12407,1.33333,1.26439,3.7058
38,20,19,15,,,0,Uruguay,Colombia,11-10-2016,2,2,1,2.16667,2.16667,0.5,0.68889,0.22963,0.81667,0.22593,1.84982,0.78704,2.83148,0.46111,0.85375,0.05185,0.17222,2.16667,0.12593,3.95185,0.41852,0.05,0.20556,3.33333,0.08704,2,1.60903,0.78298
39,20,15,19,,,1,Colombia,Uruguay,11-10-2016,2,2,1,2,1.66667,1,0.62593,0.1037,0.60926,0.21111,2.38545,1.65278,3.31296,0.4,0.89543,0.03889,0.17407,1.83333,0.10741,3.56852,0.57963,0.04259,0.23519,4.16667,0.07593,1.33333,1.64514,1.04008
40,21,13,11,,,1,Brasil,Argentina,10-11-2016,3,0,3,2.33333,2.66667,0.83333,1.17963,0.3963,0.51667,0.15185,2.51303,1.22222,5.57222,0.3463,0.94101,0.05,0.16111,1.83333,0.13519,2.72037,0.4963,0.04074,0.17222,2.66667,0.07222,2.33333,2.37778,2.28247
41,21,11,13,,,0,Argentina,Brasil,10-11-2016,0,3,0,1.83333,1.5,1,0.76852,0.25185,0.5537,0.17593,1.62641,0.90566,5.01296,0.56481,0.89767,0.07222,0.16852,2.83333,0.13704,2.66111,0.52778,0.0463,0.16852,2,0.10741,1.16667,2.15849,3.02532
42,22,20,12,,,1,Venezuela,Bolivia,10-11-2016,5,0,3,0.33333,0.83333,2.5,0.52222,0.12222,0.91852,0.26296,0.90608,1.86653,2.35741,0.43889,0.84406,0.0463,0.1963,3.5,0.09444,4.45185,0.52593,0.06296,0.16852,2,0.1537,0.375,0.64039,0.57
43,22,12,20,,,0,Bolivia,Venezuela,10-11-2016,0,5,0,0.16667,0.66667,3,0.36481,0.1,0.72037,0.24444,0.625,2.69974,1.76667,0.41481,0.8078,0.04074,0.22037,2.66667,0.07963,4.36667,0.5,0.04259,0.1463,2,0.14815,0.27778,0.8048,0.57563
44,23,15,14,,,1,Colombia,Chile,10-11-2016,0,0,1,2.16667,2,1.16667,0.7463,0.0963,0.58148,0.21852,2.71878,2.04167,3.37963,0.37778,0.90116,0.03704,0.17037,1.5,0.10185,3.3463,0.56481,0.04815,0.22593,4.33333,0.07407,1.5,1.61736,1.18338
45,23,14,15,,,0,Chile,Colombia,10-11-2016,0,0,1,1.5,1.83333,1.5,0.80926,0.31852,0.38889,0.12963,1.4117,1.28709,4.91296,0.66111,0.87856,0.05185,0.13704,2.16667,0.13519,1.68519,0.17222,0.04815,0.17778,2.16667,0.12222,1.66667,1.36254,3.93286
46,24,19,16,,,1,Uruguay,Ecuador,10-11-2016,2,1,3,1.83333,2,0.83333,0.75741,0.24074,0.90185,0.21296,2.01648,1.12037,3.07593,0.48889,0.86085,0.05,0.17037,2.16667,0.11667,3.96111,0.44444,0.05185,0.20185,2.83333,0.08148,1.66667,1.56415,0.83735
47,24,16,19,,,0,Ecuador,Uruguay,10-11-2016,1,2,0,0.83333,1.5,2,0.52222,0.1463,0.76111,0.21852,1.31306,2.13034,3.04815,0.63148,0.83701,0.06852,0.16667,3.83333,0.12222,2.97778,0.47407,0.03333,0.12778,2.16667,0.11111,0.97222,1.43978,1.23361
48,25,18,17,,,0,Peru,Paraguay,10-11-2016,4,1,3,1.33333,1.66667,1.33333,0.67037,0.20556,0.75,0.20926,1.59078,1.34026,2.96481,0.45,0.87528,0.0537,0.13519,2,0.12778,3.88333,0.61667,0.06852,0.16296,2.33333,0.11667,1.25,1.25854,0.84149
49,25,17,18,,,1,Paraguay,Peru,10-11-2016,1,4,0,1.33333,1.16667,1.66667,0.45926,0.1037,0.70741,0.15741,1.51136,1.61881,2.22222,0.42963,0.8444,0.03704,0.19074,2.16667,0.08333,4.25926,0.48148,0.06481,0.16481,2.16667,0.1463,0.83333,0.7174,0.57407
50,26,15,11,,,0,Colombia,Argentina,15-11-2016,0,3,0,1.83333,1.5,0.83333,0.87963,0.08704,0.69074,0.23704,2.0045,1.83333,3.90185,0.39815,0.90562,0.05,0.16852,1.66667,0.10741,3.43333,0.63333,0.04259,0.19444,4.16667,0.0537,1.25,1.87778,1.35328
51,26,11,15,,,1,Argentina,Colombia,15-11-2016,3,0,3,1.33333,1.16667,1.33333,0.77222,0.22222,0.5,0.17593,1.20974,1.20869,5.11111,0.53704,0.90508,0.07593,0.17963,2.66667,0.13704,2.37593,0.45741,0.04074,0.19444,2,0.10741,0.83333,2.15849,3.10684
52,27,17,12,,,0,Paraguay,Bolivia,15-11-2016,0,1,0,1.16667,1,2,0.43148,0.10185,0.71296,0.19444,1.12247,1.9562,2.31111,0.48704,0.83468,0.04444,0.19444,2.5,0.08519,3.97222,0.37963,0.04815,0.16481,2.33333,0.13519,0.70833,0.75046,0.64703
53,27,12,17,,,1,Bolivia,Paraguay,15-11-2016,1,0,3,0.16667,0.33333,3.33333,0.38333,0.09815,0.75741,0.23704,0.41667,2.42405,1.89259,0.46667,0.79977,0.03519,0.20926,2.5,0.05741,4.55,0.52778,0.05741,0.13889,1.83333,0.17037,0.16667,0.45893,0.55946
54,28,18,13,,,1,Peru,Brasil,15-11-2016,0,2,0,1.66667,2,1.16667,0.65556,0.19444,0.66481,0.18704,1.86551,1.20137,2.59815,0.3963,0.88358,0.04444,0.12778,2,0.12593,3.73333,0.67778,0.06667,0.16481,2.33333,0.11296,1.75,1.32798,0.78197
55,28,13,18,,,0,Brasil,Peru,15-11-2016,2,0,3,2.66667,2.83333,0.5,1.02593,0.35,0.5,0.13889,2.5972,0.88889,5.30185,0.35556,0.93533,0.04259,0.16667,1.66667,0.13889,2.96852,0.48704,0.04259,0.18519,3,0.06852,2.66667,2.45694,2.12452
56,29,19,14,,,0,Uruguay,Chile,15-11-2016,1,3,0,2.16667,2,0.66667,0.72778,0.23148,0.80185,0.14815,2.34982,1.08333,2.91667,0.52037,0.84328,0.0463,0.17407,2.16667,0.10741,3.74815,0.52037,0.0463,0.20556,2.66667,0.07407,1.83333,1.54563,0.82769
