matchid  teamid     passes  bad_passes  pass_ratio   corners     fouls  cards  goals     shots  is_home                team_name   pass_80   pass_70  expected_goals  on_target  length  op_teamid  op_passes  op_bad_passes  op_pass_ratio  op_corners  op_fouls  op_cards  op_goals  op_shots             op_team_name  op_pass_80  op_pass_70  op_expected_goals  op_on_target  competitionid  seasonid  shots_op_ratio  goals_op_ratio  pass_op_ratio  points      timestamp
0     731828     366   5.016000    0.920000    0.843876  0.032000  0.080000      2      0  0.088000        0              Netherlands  0.144000  0.584000        0.027125   0.008000     125        632   3.800000       0.936000       0.801012    0.032000  0.120000         1         0  0.096000                Argentina    0.096000    0.344000           0.744530      0.024000              4      2013        0.916667        0.000000       1.053513       1  1404949503945
1     731828     632   3.800000    0.936000    0.801012  0.032000  0.120000      1      0  0.096000        1                Argentina  0.096000  0.344000        0.744530   0.024000     125        366   5.016000       0.920000       0.843876    0.032000  0.080000         2         0  0.088000              Netherlands    0.144000    0.584000           0.027125      0.008000              4      2013        1.090909        0.000000       0.949205       1  1404949493351
2     731827     614   4.494505    0.934066    0.826263  0.076923  0.153846      1      1  0.197802        1                   Brazil  0.318681  0.736264        1.846013   0.087912      91        357   5.098901       0.989011       0.836036    0.054945  0.120879         0         7  0.153846                  Germany    0.384615    0.912088           3.358086      0.109890              4      2013        1.285714        0.142857       0.988310       0  1404860539250
3     731827     357   5.098901    0.989011    0.836036  0.054945  0.120879      0      7  0.153846        0                  Germany  0.384615  0.912088        3.358086   0.109890      91        614   4.494505       0.934066       0.826263    0.076923  0.153846         1         1  0.197802                   Brazil    0.318681    0.736264           1.846013      0.087912              4      2013        0.777778        7.000000       1.011828       3  1404859864586
4     741520     421   4.849462    1.204301    0.799645  0.075269  0.172043      2      1  0.193548        1     Sporting Kansas City  0.161290  0.666667        2.531149   0.086022      93       1207   2.107527       1.107527       0.653333    0.032258  0.096774         2         1  0.064516             Chicago Fire    0.172043    0.311828           0.561515      0.021505             98      2014        3.000000        1.000000       1.223947       1  1404684084978
5     741520    1207   2.107527    1.107527    0.653333  0.032258  0.096774      2      1  0.064516        0             Chicago Fire  0.172043  0.311828        0.561515   0.021505      93        421   4.849462       1.204301       0.799645    0.075269  0.172043         2         1  0.193548     Sporting Kansas City    0.161290    0.666667           2.531149      0.086022             98      2014        0.333333        1.000000       0.817029       1  1404684083362
6     741519    1616   3.936170    1.223404    0.761317  0.053191  0.042553      1      0  0.085106        0          Montreal Impact  0.138298  0.265957        0.342083   0.021277      94       2079   3.276596       1.319149       0.711316    0.042553  0.127660         0         1  0.117021               Chivas USA    0.159574    0.436170           0.455144      0.031915             98      2014        0.727273        0.000000       1.070293       0  1404624852221
7     741519    2079   3.276596    1.319149    0.711316  0.042553  0.127660      0      1  0.117021        1               Chivas USA  0.159574  0.436170        0.455144   0.031915      94       1616   3.936170       1.223404       0.761317    0.053191  0.042553         1         0  0.085106          Montreal Impact    0.138298    0.265957           0.342083      0.021277             98      2014        1.375000        1.000000       0.934324       3  1404624849877
8     741518    1708   4.354839    1.139785    0.791016  0.000000  0.225806      0      1  0.139785        1      Vancouver Whitecaps  0.161290  0.483871        1.076857   0.075269      93       3500   4.612903       1.236559       0.787156    0.032258  0.129032         1         0  0.139785      Seattle Sounders FC    0.258065    0.666667           0.130971      0.010753             98      2014        1.000000        1.000000       1.004903       3  1404622810821
9     741518    3500   4.612903    1.236559    0.787156  0.032258  0.129032      1      0  0.139785        0      Seattle Sounders FC  0.258065  0.666667        0.130971   0.010753      93       1708   4.354839       1.139785       0.791016    0.000000  0.225806         0         1  0.139785      Vancouver Whitecaps    0.161290    0.483871           1.076857      0.075269             98      2014        1.000000        0.000000       0.995121       0  1404622810742
10    741517    2077   4.642105    1.105263    0.806216  0.052632  0.073684      1      1  0.200000        1               Toronto FC  0.294737  0.884211        1.843317   0.063158      95       1326   3.789474       1.147368       0.765957    0.021053  0.084211         0         2  0.073684              D.C. United    0.073684    0.305263           1.088602      0.021053             98      2014        2.714286        0.500000       1.052559       0  1404612072751
11    741517    1326   3.789474    1.147368    0.765957  0.021053  0.084211      0      2  0.073684        0              D.C. United  0.073684  0.305263        1.088602   0.021053      95       2077   4.642105       1.105263       0.806216    0.052632  0.073684         1         1  0.200000               Toronto FC    0.294737    0.884211           1.843317      0.063158             98      2014        0.368421        2.000000       0.950065       3  1404612068705
12    731825     366   5.111111    1.007937    0.834197  0.087302  0.103175      2      0  0.190476        1              Netherlands  0.261905  0.722222        1.543544   0.047619     126        838   2.111111       0.912698       0.696335    0.007937  0.119048         4         0  0.087302               Costa Rica    0.023810    0.063492           0.254178      0.007937              4      2013        2.181818        0.000000       1.197982       1  1404604043770
13    731825     838   2.111111    0.912698    0.696335  0.007937  0.119048      4      0  0.087302        0               Costa Rica  0.023810  0.063492        0.254178   0.007937     126        366   5.111111       1.007937       0.834197    0.087302  0.103175         2         0  0.190476              Netherlands    0.261905    0.722222           1.543544      0.047619              4      2013        0.458333        0.000000       0.834737       1  1404604038607
14    731826     360   3.515789    1.126316    0.755656  0.042105  0.115789      2      0  0.105263        0                  Belgium  0.189474  0.557895        0.130971   0.010526      95        632   3.136842       0.873684       0.780105    0.031579  0.147368         1         1  0.105263                Argentina    0.084211    0.305263           0.676057      0.031579              4      2013        1.000000        0.000000       0.968660       0  1404586457908
15    731826     632   3.136842    0.873684    0.780105  0.031579  0.147368      1      1  0.105263        1                Argentina  0.084211  0.305263        0.676057   0.031579      95        360   3.515789       1.126316       0.755656    0.042105  0.115789         2         0  0.105263                  Belgium    0.189474    0.557895           0.130971      0.010526              4      2013        1.000000        1.000000       1.032354       3  1404586454564
16    741516    1581   3.914894    1.031915    0.789700  0.021277  0.127660      2      2  0.127660        0         Portland Timbers  0.276596  0.585106        0.937679   0.053191      94       1230   3.872340       1.234043       0.756757    0.074468  0.074468         1         2  0.148936                LA Galaxy    0.234043    0.744681           0.819300      0.053191             98      2014        0.857143        1.000000       1.043532       1  1404540934285
17    741516    1230   3.872340    1.234043    0.756757  0.074468  0.074468      1      2  0.148936        1                LA Galaxy  0.234043  0.744681        0.819300   0.053191      94       1581   3.914894       1.031915       0.789700    0.021277  0.127660         2         2  0.127660         Portland Timbers    0.276596    0.585106           0.937679      0.053191             98      2014        1.166667        1.000000       0.958284       1  1404540929297
18    741515     928   2.446809    1.074468    0.692771  0.053191  0.138298      2      1  0.095745        0   New England Revolution  0.202128  0.542553        0.432787   0.010638      94       1899   4.255319       1.095745       0.793651    0.063830  0.148936         2         2  0.148936           Real Salt Lake    0.255319    0.734043           0.741987      0.031915             98      2014        0.642857        0.500000       0.872892       0  1404536475677
19    741515    1899   4.255319    1.095745    0.793651  0.063830  0.148936      2      2  0.148936        1           Real Salt Lake  0.255319  0.734043        0.741987   0.031915      94        928   2.446809       1.074468       0.692771    0.053191  0.138298         2         1  0.095745   New England Revolution    0.202128    0.542553           0.432787      0.010638             98      2014        1.555556        2.000000       1.145618       3  1404536471913
20    741514     454   3.863158    0.810526    0.824719  0.052632  0.105263      0      1  0.210526        0            Columbus Crew  0.221053  0.642105        2.607055   0.084211      95        436   3.947368       0.947368       0.804721    0.052632  0.063158         3         1  0.094737          Colorado Rapids    0.210526    0.484211           0.519825      0.021053             98      2014        2.222222        1.000000       1.024851       1  1404534827790
