matchid  teamid  op_teamid  competitionid  seasonid  is_home      team_name   op_team_name                   timestamp  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
0    731830     632        357              4      2013        0      Argentina        Germany  2014-07-13 20:00:00.000000    2.666667   1.333333      0.500000  0.531302  0.173338    0.410517    0.141505        1.270910           0.703133  4.643395    0.954973    0.823198  0.070890  0.162126  1.000000  0.163520   3.179610       0.924281    0.047631  0.096118  1.833333  0.118528        1.083333        1.475854       1.110942
1    731830     357        632              4      2013        1        Germany      Argentina  2014-07-13 20:00:00.000000    2.666667   2.833333      0.666667  0.808822  0.248188    0.427337    0.166366        2.110320           1.000115  5.643403    1.030747    0.837985  0.053194  0.152780  0.666667  0.147986   3.623266       1.008787    0.047043  0.122868  1.166667  0.132571        2.666667        1.525363       1.086513
2    731829     366        614              4      2013        0    Netherlands         Brazil  2014-07-12 21:00:00.000000    2.333333   2.000000      0.666667  0.471344  0.149528    0.352806    0.101845        1.706907           0.650146  3.954149    0.980933    0.786173  0.046205  0.117671  1.500000  0.142459   4.018227       1.003401    0.035218  0.175594  1.833333  0.098091        1.750000        1.470581       1.007241
3    731829     614        366              4      2013        1         Brazil    Netherlands  2014-07-12 21:00:00.000000    1.833333   1.833333      1.833333  0.523568  0.222199    0.500570    0.183855        1.888005           1.004848  3.678041    0.945445    0.788758  0.063718  0.189068  1.833333  0.178165   3.274381       0.994765    0.047750  0.177960  2.000000  0.133097        1.690476        1.339090       1.042193
4    731828     366        632              4      2013        0    Netherlands      Argentina  2014-07-09 21:00:00.000000    2.166667   2.000000      0.833333  0.412262  0.139189    0.389735    0.114534        1.799292           0.705495  3.518422    1.014758    0.758829  0.049069  0.130294  2.666667  0.146918   4.158118       1.018166    0.040814  0.193845  2.500000  0.110779        1.750000        1.428914       0.970180
5    731828     632        366              4      2013        1      Argentina    Netherlands  2014-07-09 21:00:00.000000    2.500000   1.333333      1.166667  0.627815  0.204957    0.426737    0.154135        1.348870           1.182125  4.786619    0.954651    0.828258  0.074714  0.167767  1.166667  0.184150   2.924196       0.957761    0.049623  0.119415  1.666667  0.136828        1.083333        1.479221       1.136325
6    731827     357        614              4      2013        0        Germany         Brazil  2014-07-08 21:00:00.000000    2.666667   2.166667      0.833333  0.772749  0.211259    0.383480    0.138342        1.957514           0.917681  5.543586    1.092361    0.826424  0.065776  0.156184  1.166667  0.154953   3.454827       1.077123    0.044975  0.116940  1.166667  0.128278        1.750000        1.585271       1.095345
7    731827     614        357              4      2013        1         Brazil        Germany  2014-07-08 21:00:00.000000    1.833333   1.833333      1.000000  0.476127  0.204928    0.398735    0.137673        1.750067           0.640756  3.480928    0.956434    0.778742  0.065235  0.197477  2.000000  0.172080   2.935317       0.989428    0.045761  0.191864  2.666667  0.128962        1.750000        1.333138       1.045494
8    731825     838        366              4      2013        0     Costa Rica    Netherlands  2014-07-05 21:00:00.000000    1.333333   1.000000      1.166667  0.339940  0.112020    0.466225    0.178065        0.691759           1.297244  3.452413    1.031474    0.764229  0.039446  0.170273  2.500000  0.118734   4.470401       1.022607    0.064256  0.196006  3.000000  0.142039        0.916667        0.877315       0.945851
9    731825     366        838              4      2013        1    Netherlands     Costa Rica  2014-07-05 21:00:00.000000    2.500000   2.500000      1.166667  0.355721  0.116815    0.434117    0.133615        1.788591           0.734653  3.379336    1.064854    0.747173  0.043384  0.139694  2.833333  0.136448   4.332862       1.101865    0.046583  0.202373  2.166667  0.119278        2.000000        1.219124       0.955363
