,country,city,date,islocal,local,raw_score,stadium,visitant,score,op_score
0,Egypt,Borg El Arab ,17 Nov 2015 - 18:30 Local time,True,Egypt,4-0,Borg El Arab Stadium,Chad,4,0
1,Egypt,N'Djamena ,14 Nov 2015 - 15:30 Local time,False,Chad,1-0,Stade Omnisports Idriss Mahamat Ouya,Egypt,1,0
2,Egypt,Brazzaville ,09 Oct 2016 - 15:30 Local time,False,Congo,1-2,New Kintele Stadium,Egypt,1,2
3,Egypt,Borg El Arab ,13 Nov 2016 - 18:00 Local time,True,Egypt,2-0,Borg El Arab Stadium,Ghana,2,0
4,Egypt,Kampala ,31 Aug 2017 - 16:00 Local time,False,Uganda,1-0,Mandela National Stadium,Egypt,1,0
5,Egypt,Alexandria ,05 Sep 2017 - 20:00 Local time,True,Egypt,1-0,Alexandria Stadium,Uganda,1,0
6,Egypt,Borg El Arab ,08 Oct 2017 - 19:00 Local time,True,Egypt,2-1,Borg El Arab Stadium,Congo,2,1
7,Egypt,Cape Coast ,12 Nov 2017 - 15:30 Local time,False,Ghana,1-1,New Cape Coast Stadium,Egypt,1,1
8,Morocco,Bata ,15 Nov 2015 - 16:00 Local time,False,Equatorial Guinea,1-0,Estadio de Bata (Nkoatoma),Morocco,1,0
9,Morocco,Agadir ,12 Nov 2015 - 19:00 Local time,True,Morocco,2-0,Grand Stade d'Agadir,Equatorial Guinea,2,0
10,Morocco,Franceville ,08 Oct 2016 - 16:00 Local time,False,Gabon,0-0,Stade de Franceville,Morocco,0,0
11,Morocco,Marrakech,12 Nov 2016 - 20:00 Local time,True,Morocco,0-0,Le Grand Stade de Marrakech,Côte d'Ivoire,0,0
12,Morocco,Bamako ,05 Sep 2017 - 19:00 Local time,False,Mali,0-0,Stade 26 mars (National Stadium),Morocco,0,0
13,Morocco,Rabat ,01 Sep 2017 - 21:00 Local time,True,Morocco,6-0,Complexe Sportif Prince Moulay Abdellah,Mali,6,0
14,Morocco,Casablanca ,07 Oct 2017 - 20:00 Local time,True,Morocco,3-0,Stade Mohamed V,Gabon,3,0
15,Morocco,Abidjan ,11 Nov 2017 - 17:30 Local time,False,Côte d'Ivoire,0-2,Felix Houphouet-Boigny,Morocco,0,2
16,Nigeria,Port Harcourt ,17 Nov 2015 - 16:00 Local time,True,Nigeria,2-0,Adokiye Amiesimaka Stadium,Swaziland,2,0
17,Nigeria,Lobamba ,13 Nov 2015 - 19:00 Local time,False,Swaziland,0-0,Somhlolo National Stadium,Nigeria,0,0
18,Nigeria,Ndola ,09 Oct 2016 - 14:30 Local time,False,Zambia,1-2,Levy Mwanawasa Stadium,Nigeria,1,2
19,Nigeria,Uyo ,12 Nov 2016 - 17:00 Local time,True,Nigeria,3-1,Akwa Ibom Stadium,Algeria,3,1
20,Nigeria,Yaounde ,04 Sep 2017 - 18:00 Local time,False,Cameroon,1-1,Stade Omnisports Ahmadou-Ahidjo,Nigeria,1,1
21,Nigeria,Uyo ,01 Sep 2017 - 17:00 Local time,True,Nigeria,4-0,Akwa Ibom Stadium,Cameroon,4,0
22,Nigeria,Uyo ,07 Oct 2017 - 17:00 Local time,True,Nigeria,1-0,Akwa Ibom Stadium,Zambia,1,0
23,Nigeria,Constantine ,10 Nov 2017 - 20:30 Local time,False,Algeria,3-0,Stade Chahid Hamlaou,Nigeria,3,0
24,Senegal,Dakar ,17 Nov 2015 - 19:00 Local time,True,Senegal,3-0,Stade Léopold Sédar Senghor,Madagascar,3,0
25,Senegal,Antananarivo ,13 Nov 2015 - 14:30 Local time,False,Madagascar,2-2,Stade Municipal de Mahamasina,Senegal,2,2
26,Senegal,Dakar ,08 Oct 2016 - 20:00 Local time,True,Senegal,2-0,Stade Léopold Sédar Senghor,Cape Verde Islands,2,0
27,Senegal,Polokwane ,12 Nov 2016 - 15:00 Local time,False,South Africa,-:-,Peter Mokaba Stadium,Senegal,,:
28,Senegal,Ouagadougou ,05 Sep 2017 - 18:00 Local time,False,Burkina Faso,2-2,Stade du 4 aout,Senegal,2,2
29,Senegal,Dakar ,02 Sep 2017 - 20:00 Local time,True,Senegal,0-0,Stade Léopold Sédar Senghor,Burkina Faso,0,0
