,matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
0,731828,366,632,4,2013,0,Netherlands,Argentina,  2014-07-09 21:00:00.000000,0,0,1,2.166667,2,0.833333,0.412262,0.139189,0.389735,0.114534,1.799292,0.705495,3.518422,1.01,4758    0.758829,0.049069,0.130294,2.666667,0.146918,4.158118,1.018166,0.040814,0.193845,2.5,0.110779,1.75,1.428914,0.97018
1,731828,632,366,4,2013,1,Argentina,Netherlands,  2014-07-09 21:00:00.000000,0,0,1,2.5,1.333333,1.166667,0.627815,0.204957,0.426737,0.154135,1.34887,1.182125,4.786619,0.95,4651    0.828258,0.074714,0.167767,1.166667,0.18415,2.924196,0.957761,0.049623,0.119415,1.666667,0.136828,1.083333,1.479221,1.136325
2,731827,357,614,4,2013,0,Germany,Brazil,  2014-07-08 21:00:00.000000,7,1,3,2.666667,2.166667,0.833333,0.772749,0.211259,0.38348,0.138342,1.957514,0.917681,5.543586,1.09,2361    0.826424,0.065776,0.156184,1.166667,0.154953,3.454827,1.077123,0.044975,0.11694,1.166667,0.128278,1.75,1.585271,1.095345
3,731827,614,357,4,2013,1,Brazil,Germany,  2014-07-08 21:00:00.000000,1,7,0,1.833333,1.833333,1,0.476127,0.204928,0.398735,0.137673,1.750067,0.640756,3.480928,0.95,6434    0.778742,0.065235,0.197477,2,0.17208,2.935317,0.989428,0.045761,0.191864,2.666667,0.128962,1.75,1.333138,1.045494
4,741520,1207,421,98,2014,0,Chicago Fire,Sporting Kansas City,  2014-07-06 20:00:00.000000,1,1,1,1,1,1.333333,0.473637,0.168014,0.40758,0.150449,0.805858,0.756162,3.254366,1.14,7475    0.724209,0.051091,0.119711,2.166667,0.137833,3.899966,1.211268,0.058558,0.168953,2.166667,0.088219,0.777778,1.669246,0.960011
5,741520,421,1207,98,2014,1,Sporting Kansas City,Chicago Fire,  2014-07-06 20:00:00.000000,1,1,1,1.333333,1.166667,1,0.532328,0.159448,0.48697,0.182237,0.7993,0.792161,3.625329,1.09,9543    0.744346,0.036806,0.176681,2.666667,0.136623,3.348118,1.206634,0.059539,0.164547,2.833333,0.115515,0.916667,1.428096,1.038657
6,741519,1616,2079,98,2014,0,Montreal Impact,Chivas USA,  2014-07-06 03:30:00.000000,0,1,0,1.333333,1.5,1.5,0.401183,0.135996,0.594361,0.207686,1.545623,1.018667,3.663182,1.1,1463    0.763668,0.042994,0.139563,1.666667,0.136017,4.106358,1.087166,0.059066,0.13937,2,0.135918,1.125,1.142422,0.972044
7,741519,2079,1616,98,2014,1,Chivas USA,Montreal Impact,  2014-07-06 03:30:00.000000,1,0,3,1.333333,0.666667,1.166667,0.423922,0.165962,0.54248,0.176639,0.725304,1.36368,2.636803,1.16,8132    0.688994,0.030068,0.109598,3,0.098715,4.891699,1.10213,0.042294,0.151967,1.333333,0.144891,0.666667,0.815283,0.846703
8,741518,3500,1708,98,2014,0,Seattle Sounders FC,Vancouver Whitecaps,  2014-07-06 03:00:00.000000,0,1,0,2.166667,1.833333,1.5,0.553071,0.203857,0.547941,0.191064,1.261588,1.149263,3.867461,1.16,5572    0.762581,0.060527,0.152615,2,0.126911,4.465402,1.118797,0.051248,0.118966,1.5,0.141552,1.416667,1.145518,0.968346
9,741518,1708,3500,98,2014,1,Vancouver Whitecaps,Seattle Sounders FC,  2014-07-06 03:00:00.000000,1,0,3,1.5,1.666667,1.666667,0.521065,0.192945,0.635815,0.266456,1.224371,1.571938,3.917494,1.03,0472    0.783873,0.053221,0.13679,2.333333,0.162923,4.039221,1.208476,0.058667,0.145433,2,0.174424,0.722222,1.24028,1.026754
10,741517,1326,2077,98,2014,0,D.C. United,Toronto FC,  2014-07-06 00:00:00.000000,2,1,3,1.666667,1.333333,0.833333,0.521667,0.178026,0.568937,0.198911,0.771262,0.799924,3.962236,1.17,9224    0.757629,0.0548,0.142677,2.5,0.130563,3.492922,1.244847,0.065401,0.141034,2,0.110964,0.916667,1.51029,1.0397
11,741517,2077,1326,98,2014,1,Toronto FC,D.C. United,  2014-07-06 00:00:00.000000,1,2,0,2,1.833333,1.166667,0.414438,0.185261,0.538284,0.183829,0.956765,1.007338,2.825665,1.14,6162    0.706630,0.047707,0.146253,2.666667,0.119936,4.271759,1.274531,0.045877,0.154969,1.666667,0.136104,1.25,1.02063,0.927278
12,731825,838,366,4,2013,0,Costa Rica,Netherlands,  2014-07-05 21:00:00.000000,0,0,1,1.333333,1,1.166667,0.33994,0.11202,0.466225,0.178065,0.691759,1.297244,3.452413,1.03,1474    0.764229,0.039446,0.170273,2.5,0.118734,4.470401,1.022607,0.064256,0.196006,3,0.142039,0.916667,0.877315,0.945851
13,731825,366,838,4,2013,1,Netherlands,Costa Rica,  2014-07-05 21:00:00.000000,0,0,1,2.5,2.5,1.166667,0.355721,0.116815,0.434117,0.133615,1.788591,0.734653,3.379336,1.06,4854    0.747173,0.043384,0.139694,2.833333,0.136448,4.332862,1.101865,0.046583,0.202373,2.166667,0.119278,2,1.219124,0.955363
15,741516,1581,1230,98,2014,0,Portland Timbers,LA Galaxy,  2014-07-05 04:00:00.000000,2,2,1,1.666667,2,1.5,0.711197,0.270057,0.54574,0.201511,1.615477,1.155904,4.073135,1.11,1243    0.784765,0.056311,0.181518,1.666667,0.153311,2.922021,1.096346,0.061595,0.136052,4,0.141276,1.458333,1.153795,1.112744
16,741516,1230,1581,98,2014,1,LA Galaxy,Portland Timbers,  2014-07-05 04:00:00.000000,2,2,1,1.833333,1.5,0.833333,0.657401,0.230888,0.520534,0.180764,1.298591,0.707833,4.285767,1.16,8329    0.780329,0.037578,0.094853,1.166667,0.166385,3.406418,1.175673,0.050162,0.089552,0.666667,0.116397,1.5,1.595474,1.062743
17,741515,928,1899,98,2014,0,New England Revolution,Real Salt Lake,  2014-07-05 03:00:00.000000,1,2,0,1.5,2.166667,1.833333,0.824327,0.30551,0.511315,0.189072,1.859344,1.373966,3.907678,1.13,9754    0.764721,0.070893,0.133431,1.333333,0.190214,3.599722,1.163718,0.0466,0.133509,2.5,0.155265,1.5,1.440873,1.020769
18,741515,1899,928,98,2014,1,Real Salt Lake,New England Revolution,  2014-07-05 03:00:00.000000,2,1,3,0.833333,0.666667,1.666667,0.567292,0.162842,0.537607,0.22057,0.606203,1.586477,3.802846,1.16,5549    0.762272,0.043854,0.124674,2.333333,0.099603,3.340182,1.035875,0.054544,0.156399,1.5,0.156439,0.555556,0.742279,1.023796
19,741514,454,436,98,2014,0,Columbus Crew,Colorado Rapids,  2014-07-05 02:30:00.000000,1,1,1,1.166667,1.333333,1.166667,0.55258,0.200035,0.497536,0.185249,0.930553,0.991964,4.564438,1.1,8443    0.797396,0.051327,0.132316,1.833333,0.12735,3.46689,1.104846,0.04069,0.135601,1.5,0.121789,0.777778,1.180522,1.053799
20,741514,436,454,98,2014,1,Colorado Rapids,Columbus Crew,  2014-07-05 02:30:00.000000,1,1,1,1.666667,2,1,0.499998,0.201447,0.393552,0.101839,1.371055,0.436036,4.224557,1.13,6376    0.782623,0.067623,0.139968,1,0.158648,3.421257,1.197016,0.023322,0.106477,1.666667,0.079759,1.694444,2.17674,1.095447
21,741513,5513,1903,98,2014,0,Philadelphia Union,FC Dallas,  2014-07-05 02:00:00.000000,1,2,0,1.666667,2.5,2.333333,0.494022,0.179487,0.546194,0.193773,1.620859,1.764168,3.775661,1.18,9941    0.748850,0.06242,0.124577,2,0.175905,3.668836,1.202151,0.040728,0.136538,1.833333,0.150819,1.641667,1.693687,1.011049
22,741513,1903,5513,98,2014,1,FC Dallas,Philadelphia Union,  2014-07-05 02:00:00.000000,2,1,3,1,1.166667,1.333333,0.427105,0.166,0.756558,0.239717,1.235239,0.937673,3.082568,1.07,1138    0.732775,0.047733,0.107011,2.166667,0.121404,4.6325,1.031199,0.043795,0.131837,1.333333,0.159912,0.583333,0.845455,0.899616
23,741512,399,1897,98,2014,0,New York Red Bulls,Houston Dynamo,  2014-07-05 01:30:00.000000,2,2,1,0.833333,1.666667,2,0.533977,0.21399,0.566747,0.233715,1.11059,1.139185,3.87817,1.19,4904    0.763696,0.054649,0.146835,2.166667,0.125538,3.454526,0.980007,0.045989,0.134441,1.666667,0.155584,0.883333,0.945998,0.99521
24,741512,1897,399,98,2014,1,Houston Dynamo,New York Red Bulls,  2014-07-05 01:30:00.000000,2,2,1,0.5,0.166667,2.166667,0.545367,0.234224,0.502018,0.179406,0.752524,1.427621,3.396845,1.25,5664    0.723788,0.048165,0.101914,1.666667,0.108779,3.806621,1.154623,0.055543,0.142852,1.666667,0.15944,0.166667,0.741301,0.956123
26,731824,357,368,4,2013,0,Germany,France,  2014-07-04 17:00:00.000000,1,0,3,2.166667,2,1,0.757497,0.211431,0.48094,0.165643,1.862769,0.930329,5.677403,1.09,9930    0.831290,0.07121,0.142134,0.833333,0.149749,3.891435,1.055923,0.048654,0.101154,1.166667,0.133902,1.583333,1.532387,1.081469
27,731824,368,357,4,2013,1,France,Germany,  2014-07-04 17:00:00.000000,0,1,0,1.666667,1.833333,1,0.707591,0.245728,0.40724,0.135656,2.032183,0.910804,4.336828,1.01,0931    0.799567,0.071235,0.169848,1.5,0.173198,3.361925,0.990949,0.037295,0.141458,1.666667,0.135809,1.333333,1.651148,1.056878
28,741511,2079,1131,98,2014,0,Chivas USA,San Jose Earthquakes,  2014-07-03 03:30:00.000000,1,0,3,1.333333,1,1.333333,0.412015,0.157302,0.541621,0.166411,0.718762,1.428185,2.653096,1.13,5041    0.696759,0.033614,0.102711,2.666667,0.091809,4.958366,1.100917,0.053044,0.136364,1.166667,0.14519,1,0.773616,0.853988
29,741511,1131,2079,98,2014,1,San Jose Earthquakes,Chivas USA,  2014-07-03 03:30:00.000000,0,1,0,1.5,1.166667,0.833333,0.412678,0.124039,0.567447,0.253081,0.847664,1.258558,3.560766,1.18,1476    0.744911,0.035336,0.129169,1.666667,0.116944,3.691896,1.275933,0.063372,0.130589,1.5,0.168018,1.166667,0.730626,1.008899
30,741510,2077,1207,98,2014,0,Toronto FC,Chicago Fire,  2014-07-03 01:30:00.000000,1,1,1,1.833333,1.833333,1.333333,0.502893,0.209295,0.541321,0.163587,1.005347,0.896897,3.237738,1.15,6047    0.726417,0.043972,0.149309,2.666667,0.133707,3.954442,1.30196,0.038671,0.168626,1.666667,0.124823,1.166667,1.140868,0.979352
31,741510,1207,2077,98,2014,1,Chicago Fire,Toronto FC,  2014-07-03 01:30:00.000000,1,1,1,1.333333,1.666667,1.833333,0.408253,0.133738,0.480245,0.174483,0.810239,0.964904,2.905469,1.14,3325    0.708108,0.043885,0.122842,1.833333,0.119535,4.259407,1.240451,0.065349,0.163237,2,0.107253,0.819444,1.285648,0.91559
33,731821,497,632,4,2013,0,Switzerland,Argentina,  2014-07-01 17:00:00.000000,0,1,0,1.666667,1.333333,1.166667,0.453431,0.169624,0.64605,0.272712,1.290786,1.451859,3.512752,1.03,1953    0.742200,0.044594,0.167776,1.666667,0.146271,4.132385,1.053009,0.064162,0.166071,2.166667,0.169408,1.066667,1.164385,0.952704
34,731821,632,497,4,2013,1,Argentina,Switzerland,  2014-07-01 17:00:00.000000,1,0,3,2.5,1.833333,1.333333,0.697555,0.23253,0.421237,0.126472,1.671601,1.045808,5.503643,0.95,8873    0.844575,0.073717,0.178503,0.666667,0.189222,2.871541,0.907255,0.046755,0.110343,1.333333,0.142601,1.583333,1.631789,1.162384
35,731820,1215,357,4,2013,0,Algeria,Germany,  2014-06-30 21:00:00.000000,1,2,0,0.833333,1,1.166667,0.414207,0.176104,0.55199,0.15845,0.908731,1.417512,3.282029,1.11,2388    0.742551,0.040875,0.146038,2.166667,0.120872,4.401586,1.136849,0.062381,0.177896,1.666667,0.137135,0.583333,1.023393,0.942959
36,731820,357,1215,4,2013,1,Germany,Algeria,  2014-06-30 21:00:00.000000,2,1,3,2.166667,2.333333,0.833333,0.752198,0.212542,0.606098,0.203699,1.77716,0.958349,5.25799,1.09,5486    0.817335,0.064874,0.151441,0.833333,0.144464,4.25679,1.002584,0.052347,0.111768,1.333333,0.156871,1.916667,1.21572,1.021531
37,731819,1216,368,4,2013,0,Nigeria,France,  2014-06-30 17:00:00.000000,0,2,0,0.833333,1,1.333333,0.444458,0.118058,0.662841,0.207362,0.684687,1.889236,3.219459,1.04,0196    0.749190,0.041361,0.111439,1.5,0.134383,4.06593,1.032196,0.082116,0.152541,1.166667,0.196591,0.527778,0.739275,0.967262
38,731819,368,1216,4,2013,1,France,Nigeria,  2014-06-30 17:00:00.000000,2,0,3,1.333333,1.5,1,0.690783,0.237937,0.378435,0.134392,1.72764,0.902119,4.403457,1.04,1322    0.797735,0.057351,0.16683,1.833333,0.186233,3.324555,1.016114,0.021506,0.156248,2.333333,0.13081,1,1.910672,1.064669
