fixture_id,time.starting_at.date,Team.data.name,op_Team.data.name,expected_score,op_expected_score,local_prob,tie_prob,visitor_prob,expected_winner
397,2018-10-06,Russia,Saudi Arabia,-,-,-,-,-,-
398,2018-10-05,Uruguay,Egypt,1.3059676574,0.829987421,0.4773279799,0.2853526041,0.2373192711,Uruguay
399,2018-10-05,Morocco,IR Iran,1.2675201768,1.0835143713,0.4057013397,0.2785140992,0.3157844317,Morocco
400,2018-10-05,Spain,Portugal,1.5607297334,1.0810539485,0.4841739964,0.2526963712,0.2631288023,Spain
401,2018-10-05,France,Australia,1.6509379025,1.2139630893,0.4758888661,0.2429068854,0.2812027972,France
402,2018-10-05,Argentina,Iceland,1.5111774558,0.9860071142,0.4942368828,0.258972693,0.2467898228,Argentina
403,2018-10-05,Peru,Denmark,1.0942130177,0.8779596253,0.4025376238,0.3085833111,0.2888790376,Peru
404,2018-10-05,Croatia,Nigeria,1.2675201768,1.0835143713,0.4057013397,0.2785140992,0.3157844317,Croatia
405,2018-10-05,Costa Rica,Serbia,1.2346088552,0.8561826043,0.4500933069,0.293087027,0.2568195816,Costa Rica
406,2018-10-05,Germany,Mexico,2.2961541005,1.1810346505,0.6236686024,0.1918283702,0.1844739244,Germany
407,2018-10-05,Brazil,Switzerland,1.5607297334,1.0810539485,0.4841739964,0.2526963712,0.2631288023,Brazil
408,2018-10-05,Sweden,Korea Republic,1.3897036565,0.8541451946,0.4946247766,0.2745972539,0.2307777042,Sweden
409,2018-10-05,Belgium,Panama,1.5698821792,1.0528693533,0.4931563143,0.2523075862,0.254535228,Belgium
410,2018-10-05,England,Tunisia,1.096823066,0.829987421,0.4149177035,0.3115696744,0.2735125952,England
411,2018-10-05,Colombia,Japan,1.1982621664,0.8065129013,0.4517788818,0.299895228,0.2483258277,Colombia
412,2018-10-05,Poland,Senegal,1.9167746231,0.8531283086,0.6237098467,0.2154841726,0.1608003667,Poland
413,2018-10-05,Russia,Egypt,-,-,-,-,-,-
415,2018-10-05,Spain,IR Iran,1.6625987225,0.8065129013,0.5774529278,0.2424081626,0.1801374315,Spain
416,2018-10-05,Portugal,Morocco,1.2720580422,0.9089112532,0.4479441533,0.2864591854,0.2655965468,Portugal
417,2018-10-05,Uruguay,Saudi Arabia,1.6080710912,1.109871913,0.4892679874,0.2480633989,0.2626675097,Uruguay
418,2018-10-05,Denmark,Australia,1.0632654101,0.9614451534,0.3736785569,0.3056782617,0.320643156,Denmark
419,2018-10-05,France,Peru,1.6509379025,0.9883590567,0.5288794278,0.2450251535,0.2260940283,France
420,2018-10-05,Argentina,Croatia,1.6470092582,0.9581198922,0.535334989,0.2454161569,0.219247497,Argentina
421,2018-10-05,Brazil,Costa Rica,1.4701871531,1.1449005139,0.4462201337,0.2589118004,0.2948675723,Brazil
422,2018-10-05,Nigeria,Iceland,1.4318573085,0.8309767243,0.5120234323,0.2699411623,0.2180350519,Nigeria
423,2018-10-05,Serbia,Switzerland,1.2705436181,0.935366199,0.4410871111,0.2854839986,0.2734287757,Serbia
424,2018-10-05,Belgium,Tunisia,1.6625987225,0.8065129013,0.5774529278,0.2424081626,0.1801374315,Belgium
425,2018-10-05,Korea Republic,Mexico,1.2360804468,0.9045906299,0.4386154218,0.2906924829,0.2706920082,Korea Republic
426,2018-10-05,Germany,Sweden,1.3471852244,0.8811028199,0.4760619369,0.2789036272,0.2450342388,Germany
427,2018-10-05,England,Panama,1.3848972175,1.3680930721,0.3761993668,0.2552793158,0.368520837,England
428,2018-10-05,Japan,Senegal,1.4647826513,0.8289992956,0.5213551457,0.2659951809,0.2126492333,Japan
429,2018-10-05,Poland,Colombia,1.7089536541,0.9045906299,0.5636368797,0.238620682,0.197740518,Poland
430,2018-10-05,Russia,Uruguay,-,-,-,-,-,-
431,2018-10-05,Portugal,IR Iran,1.9167746231,0.8531283086,0.6237098467,0.2154841726,0.1608003667,Portugal
432,2018-10-05,Egypt,Saudi Arabia,1.3059676574,0.9364811085,0.4508618097,0.2816215906,0.2675164512,Egypt
433,2018-10-05,Spain,Morocco,1.6489724104,1.2154100722,0.4750848765,0.2430328675,0.2818808194,Spain
434,2018-10-05,Peru,Australia,1.1274036008,0.8821530501,0.4117081892,0.3044117811,0.2838799934,Peru
435,2018-10-05,France,Denmark,1.1996904346,0.8280123465,0.4467940859,0.2986904293,0.2545154212,France
436,2018-10-05,Nigeria,Argentina,1.0027760524,1.0230910678,0.3416575404,0.3061007106,0.352241726,Argentina
437,2018-10-05,Iceland,Croatia,1.1300928193,1.0453708631,0.3749534532,0.2929297535,0.3321167433,Iceland
438,2018-10-05,Germany,Korea Republic,1.8714587331,0.8065129013,0.6255817558,0.2187474596,0.1556662896,Germany
439,2018-10-05,Mexico,Sweden,1.3897036565,0.9625911476,0.4676935484,0.2718880786,0.2604181029,Mexico
440,2018-10-05,Brazil,Serbia,1.2346088552,0.9603005235,0.4248190575,0.2880990403,0.2870818131,Brazil
441,2018-10-05,Switzerland,Costa Rica,1.3471852244,0.8811028199,0.4760619369,0.2789036272,0.2450342388,Switzerland
442,2018-10-05,Japan,Poland,1.2331390156,1.2210820229,0.3663999847,0.2729926989,0.3606071609,Japan
443,2018-10-05,Colombia,Senegal,1.096823066,0.7827692895,0.4265960529,0.3146769697,0.2587269512,Colombia
444,2018-10-05,Panama,Tunisia,1.1287474092,1.0528693533,0.3729089521,0.2925042028,0.3345867944,Panama
445,2018-10-05,England,Belgium,1.598521567,1.5436297999,0.3935195763,0.23660229,0.3698763908,England
